"","year","country","export_nom","export_real","import_nom","import_real","gdp_nom","gdp_real","DA","FA","TR","RA","FMI","DMI","RMI","R"
"29",2008,"India",1.32877e+13,1.87946e+13,1.61404e+13,2.40723e+13,5.51415e+13,8.59224e+13,6.11875669886367,5.40691971271546,-0.194486650387018,-0.711836986148202,25.1576709977468,24.6933262189271,0.464344778819704,0.0530055569414805
"30",2009,"India",1.29878e+13,1.7886e+13,1.64714e+13,2.36087e+13,6.36641e+13,9.26776e+13,6.19145370113505,5.37877144353099,-0.237615088320471,-0.812682257604062,25.1362679563216,24.6011827029603,0.53508525336122,0.0399819159223712
"31",2010,"India",1.71019e+13,2.13699e+13,2.05018e+13,2.73417e+13,7.63447e+13,1.00553e+14,6.27155971637576,5.39528453211249,-0.181323118720446,-0.876275184263264,25.297719973679,24.6678744088716,0.629845564807371,0.0651065007354483
"32",2011,"India",2.14393e+13,2.46807e+13,2.71555e+13,3.29226e+13,8.73633e+13,1.05823e+14,6.35476300199265,5.43216422448706,-0.236353917716743,-0.922598777505587,25.4048784531235,24.7704174659699,0.634460987153523,0.0517838726353208
"33",2012,"India",2.43971e+13,2.63604e+13,3.10843e+13,3.49052e+13,9.94401e+13,1.11597e+14,6.40071076711583,5.44515098142561,-0.242238595791329,-0.955559785690218,25.4577330185289,24.7829461640568,0.67478685447214,0.0385343354267488
"34",2013,"India",2.85678e+13,2.84145e+13,3.19181e+13,3.20619e+13,1.12335e+14,1.18724e+14,6.43588915201528,5.47546637127659,-0.110893037572931,-0.960422780738682,25.5024543229063,24.6628003732189,0.839653949687391,0.00987579347835956
"35",2014,"India",2.86364e+13,2.89196e+13,3.23596e+13,3.23412e+13,1.2468e+14,1.27522e+14,6.49095831406708,5.51286028403191,-0.122232095306736,-0.978098030035165,25.4826803978329,24.6164047610734,0.866275636759481,-0.0104097020310522
"36",2015,"India",2.72865e+13,2.72865e+13,3.04492e+13,3.04492e+13,1.37719e+14,1.37719e+14,6.56164694036481,5.5223100670494,-0.109667646844536,-1.03933687331541,25.4151031232674,24.4854338967965,0.929669226470871,0
"37",2016,"India",2.94877e+13,2.86465e+13,3.22059e+13,3.17835e+13,1.53917e+14,1.49089e+14,6.63489390219958,5.54532206221728,-0.0881764383337305,-1.0895718399823,25.4407303253605,24.455074500932,0.985655824428486,0.015739577220081
"38",2017,"India",3.21152e+13,2.99541e+13,3.75139e+13,3.73202e+13,1.709e+14,1.5922e+14,6.70883376272039,5.5674074271411,-0.155382092653257,-1.14142633557929,25.4632798988044,24.5417220882297,0.921557810574628,0.0644864323514075
"39",2018,"India",3.76629e+13,3.35282e+13,4.47717e+13,4.06128e+13,1.88997e+14,1.69496e+14,6.78569453799583,5.59777430868684,-0.172900718344218,-1.18792022930899,25.5456336830101,24.5494098657889,0.996223817221201,0.018795693743567
"40",2019,"India",3.75219e+13,3.239e+13,4.27023e+13,4.027e+13,2.00749e+14,1.75832e+14,6.82187755609653,5.62931479994804,-0.129328020437847,-1.19256275614849,25.4795560491637,24.5047503346954,0.974805714468364,0.0884290212422783
"41",2020,"India",3.70453e+13,2.93978e+13,3.78127e+13,3.47087e+13,1.98009e+14,1.64234e+14,6.76067818837932,5.58556482685884,-0.0205035369385666,-1.17511336152048,25.4263761306825,24.417333303538,1.00904282714446,0.145566997437456
"42",2021,"India",5.06389e+13,3.65485e+13,5.65389e+13,4.70182e+13,2.36646e+14,1.78491e+14,6.85567072523283,5.63504782285249,-0.1102088411822,-1.22062290238034,25.594613438758,24.6258851514926,0.968728287265432,0.141685773932705
